           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
              0.1             -4.9                0       -20584.668                0       -4361.8208                0        -33520160                0
              0.2             -4.9                0       -2216.0808                0       -817.16504                0        -33218228                0
              0.3             -4.9                0        12065.176                0        4264.3652                0        -32759064                0
              0.4             -4.9                0        20239.279                0        3450.1748                0        -32129644                0
              0.5             -4.9                0         20484.26                0       -418.17365                0        -31299304                0
              0.6             -4.9                0        13714.702                0        1541.0569                0        -30243160                0
              0.7             -4.9                0        6252.4346                0        5110.5796                0        -29045564                0
              0.8             -4.9                0        527.33154                0        7618.4224                0        -27701856                0
              0.9             -4.9                0       -1529.1014                0        3078.6199                0        -26209544                0
                1             -4.9                0       -9133.7979                0        13650.663                0        -24521924                0
              1.1             -4.9                0       -21669.889                0        34969.922                0        -22670058                0
              1.2             -4.9                0       -17300.154                0        27814.676                0        -20669636                0
              1.3             -4.9                0       -10884.261                0        16723.518                0        -18550004                0
              1.4             -4.9                0       -4764.3984                0        5127.3599                0        -16315126                0
              1.5             -4.9                0       -2093.2839                0       -91.216309                0        -13930182                0
              1.6             -4.9                0       -1562.2288                0       -3340.2715                0        -11456178                0
              1.7             -4.9                0       -2822.9343                0       -5481.3027                0         -8899992                0
              1.8             -4.9                0        -3945.604                0         1119.376                0         -6289357                0
              1.9             -4.9                0         -8024.52                0        9154.1768                0         -3605407                0
                2             -4.9                0       -11053.842                0        11144.642                0       -845584.12                0
              2.1             -4.9                0       -8463.0205                0        10274.438                0        1959397.5                0
              2.2             -4.9                0       -3179.5405                0        5798.8564                0          4805509                0
              2.3             -4.9                0        1740.0085                0        3867.1926                0        7680041.5                0
              2.4             -4.9                0        3042.6938                0        1435.6239                0         10576896                0
              2.5             -4.9                0        1133.6862                0        -1429.882                0         13466772                0
              2.6             -4.9                0        133.87872                0       -988.44702                0         16346376                0
              2.7             -4.9                0       -1988.9912                0        -183.5835                0         19192774                0
              2.8             -4.9                0       -4764.9761                0        1388.6426                0         21995160                0
              2.9             -4.9                0        3104.2446                0       -4987.5488                0         24743364                0
                3             -4.9                0        8345.2461                0       -9942.8721                0         27428930                0
              3.1             -4.9                0        7473.8745                0        -8421.917                0         30053094                0
              3.2             -4.9                0        6841.9722                0       -3927.3975                0         32620374                0
              3.3             -4.9                0        1601.4081                0        1898.1086                0         35088736                0
              3.4             -4.9                0       -3888.8613                0        5767.8911                0         37427092                0
              3.5             -4.9                0        1027.2246                0        9205.4512                0         39697648                0
              3.6             -4.9                0        16241.605                0        12166.861                0         41900060                0
              3.7             -4.9                0        20592.785                0        6293.5552                0         43936184                0
              3.8             -4.9                0        11341.565                0        1001.9854                0         45773312                0
              3.9             -4.9                0        4439.1714                0       -1545.7301                0         47472624                0
                4             -4.9                0       -114.37424                0       -1349.5852                0         49034112                0
              4.1             -4.9                0        17147.543                0       -13063.947                0         50467608                0
              4.2             -4.9                0        24107.453                0       -18601.488                0         51793592                0
              4.3             -4.9                0        10915.225                0       -11464.499                0         53012640                0
              4.4             -4.9                0       -20833.301                0          6070.27                0         54074080                0
              4.5             -4.9                0       -23709.947                0        7007.3936                0         54764928                0
              4.6             -4.9                0       -20170.363                0        5942.8291                0         55350596                0
              4.7             -4.9                0       -9457.8721                0         2798.051                0         55832188                0
              4.8             -4.9                0        3446.4966                0       -1195.3857                0         56194620                0
              4.9             -4.9                0        1606.3252                0       -3923.3511                0         56393260                0
                5             -4.9                0       -14005.251                0       -6492.2666                0         56433864                0
               -5             -4.8                0        25234.375                0        4017.8132                0         56266208                0
             -4.9             -4.8                0        1873.4087                0        3271.6255                0         56262496                0
             -4.8             -4.8                0       -8820.8945                0        1878.1143                0         56093872                0
             -4.7             -4.8                0       -4076.1709                0        2018.7767                0         55765976                0
             -4.6             -4.8                0        12712.094                0        9464.5273                0         55303332                0
             -4.5             -4.8                0        22327.449                0        14830.065                0         54736608                0
             -4.4             -4.8                0        20768.826                0        10997.374                0         53999608                0
             -4.3             -4.8                0        5507.1377                0         1359.052                0         53038232                0
             -4.2             -4.8                0       -2772.4604                0       -3561.1545                0         51851744                0
             -4.1             -4.8                0       -11920.898                0       -4556.7422                0         50576748                0
               -4             -4.8                0        -917.2995                0        7122.1392                0         49194816                0
             -3.9             -4.8                0        3016.1248                0        7890.4043                0         47670640                0
             -3.8             -4.8                0        1678.6835                0        8189.2183                0         46004968                0
             -3.7             -4.8                0       -5563.7524                0        8602.0381                0         44195344                0
             -3.6             -4.8                0       -14324.544                0        9834.6816                0         42232660                0
             -3.5             -4.8                0       -7445.6157                0        7876.1455                0         40132400                0
             -3.4             -4.8                0        72.174927                0        5587.0786                0         37908868                0
             -3.3             -4.8                0       -1254.8152                0        2926.0276                0         35606412                0
             -3.2             -4.8                0        -6082.248                0       -3821.4316                0         33179532                0
             -3.1             -4.8                0       -8315.1016                0       -10930.859                0         30652820                0
               -3             -4.8                0       -3595.2097                0       -9581.3867                0         28063040                0
             -2.9             -4.8                0        3557.9397                0       -4975.9229                0         25422174                0
             -2.8             -4.8                0        10039.261                0       -864.65808                0         22722782                0
             -2.7             -4.8                0        7258.2915                0       -3438.3765                0         19968792                0
             -2.6             -4.8                0        2294.3418                0        -1241.949                0         17196690                0
