           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             -1.8             -4.8                0                0        46981.379                0        55531.945                0       -3.6769962
             -1.7             -4.8                0                0        46719.246                0        53108.773                0       -8.6823883
             -1.6             -4.8                0                0        46481.191                0         50668.75                0       -13.936954
             -1.5             -4.8                0                0        46194.699                0        48194.199                0       -11.260497
             -1.4             -4.8                0                0         45848.43                0        45634.352                0        1.5314623
             -1.3             -4.8                0                0        45593.102                0        42693.566                0        11.268933
             -1.2             -4.8                0                0        45289.312                0        39724.836                0        9.4372931
             -1.1             -4.8                0                0        44995.969                0        36742.605                0        5.3715014
               -1             -4.8                0                0        44731.984                0        33751.988                0        2.0718246
             -0.9             -4.8                0                0        44532.262                0        30633.887                0       0.17534286
             -0.8             -4.8                0                0        44413.137                0        27338.832                0     -0.058019102
             -0.7             -4.8                0                0        44326.234                0        24034.445                0       0.47302902
             -0.6             -4.8                0                0        44267.719                0        20720.262                0        1.7102214
             -0.5             -4.8                0                0        44094.051                0        17381.275                0        2.3432114
             -0.4             -4.8                0                0        44008.352                0         13944.88                0        4.2857561
             -0.3             -4.8                0                0        43926.258                0        10466.913                0        4.2043147
             -0.2             -4.8                0                0        43794.926                0        6986.1177                0        2.9848442
             -0.1             -4.8                0                0        43697.438                0        3501.0039                0       -1.0124905
                0             -4.8                0                0        43633.812                0       -11.570084                0        7.7876854
              0.1             -4.8                0                0        43697.438                0       -3501.0039                0        1.0124905
              0.2             -4.8                0                0        43794.926                0       -6986.1177                0       -2.9848442
              0.3             -4.8                0                0        43926.258                0       -10466.913                0       -4.2043147
              0.4             -4.8                0                0        44008.352                0        -13944.88                0       -4.2857561
              0.5             -4.8                0                0        44094.051                0       -17381.275                0       -2.3432114
              0.6             -4.8                0                0        44267.719                0       -20720.262                0       -1.7102214
              0.7             -4.8                0                0        44326.234                0       -24034.445                0      -0.47302902
              0.8             -4.8                0                0        44413.137                0       -27338.832                0      0.058019102
              0.9             -4.8                0                0        44532.262                0       -30633.887                0      -0.17534286
                1             -4.8                0                0        44731.984                0       -33751.988                0       -2.0718246
              1.1             -4.8                0                0        44995.969                0       -36742.605                0       -5.3715014
              1.2             -4.8                0                0        45289.312                0       -39724.836                0       -9.4372931
              1.3             -4.8                0                0        45593.102                0       -42693.566                0       -11.268933
              1.4             -4.8                0                0         45848.43                0       -45634.352                0       -1.5314623
              1.5             -4.8                0                0        46194.699                0       -48194.199                0        11.260497
              1.6             -4.8                0                0        46481.191                0        -50668.75                0        13.936954
              1.7             -4.8                0                0        46719.246                0       -53108.773                0        8.6823883
              1.8             -4.8                0                0        46981.379                0       -55531.945                0        3.6769962
              1.9             -4.8                0                0        47275.828                0       -57857.781                0       -1.8966504
                2             -4.8                0                0        47640.094                0        -59763.23                0       -10.497138
              2.1             -4.8                0                0        48037.863                0       -61633.348                0       -17.630577
              2.2             -4.8                0                0        48469.156                0       -63468.152                0       -23.296993
