           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             -4.1             -4.8                1                0        1767.4772                0         46399.07                0       -4.3982611
               -4             -4.8                1                0        3268.2947                0        51673.406                0       -3.5720577
             -3.9             -4.8                1                0        4814.8755                0        56825.957                0        3.2383206
             -3.8             -4.8                1                0        6375.2974                0        61867.508                0        11.277813
             -3.7             -4.8                1                0        7954.3032                0        66848.867                0        18.198065
             -3.6             -4.8                1                0        9931.4297                0        71024.547                0        14.479614
             -3.5             -4.8                1                0         11933.97                0        75134.859                0        12.277487
             -3.4             -4.8                1                0        13777.428                0        79089.656                0         12.01495
             -3.3             -4.8                1                0        15455.568                0        82896.922                0        9.1242161
             -3.2             -4.8                1                0        17176.637                0        86058.234                0        8.2469015
             -3.1             -4.8                1                0        18971.469                0        88839.359                0        5.7391129
               -3             -4.8                1                0        20919.369                0        91351.938                0       0.45280707
             -2.9             -4.8                1                0        22877.857                0        93769.336                0       -2.3269653
             -2.8             -4.8                1                0         24857.07                0         95827.25                0       -2.7181563
             -2.7             -4.8                1                0        26877.809                0        96963.656                0       -2.5014229
             -2.6             -4.8                1                0        28908.621                0        97986.867                0       -2.2440765
             -2.5             -4.8                1                0        30949.492                0        98896.891                0       -1.9461188
             -2.4             -4.8                1                0        32586.176                0          99469.5                0      -0.11416638
             -2.3             -4.8                1                0        34179.113                0        99227.164                0       -21.885365
             -2.2             -4.8                1                0         35816.77                0        98279.031                0       -50.953125
             -2.1             -4.8                1                0        37546.602                0        97140.523                0       -36.526295
               -2             -4.8                1                0        39268.578                0        95904.234                0       -20.610184
             -1.9             -4.8                1                0        40982.707                0        94570.156                0       -3.2047317
             -1.8             -4.8                1                0        42682.453                0        92008.492                0        11.159419
             -1.7             -4.8                1                0         44368.32                0        89164.711                0        25.071339
             -1.6             -4.8                1                0        46041.211                0         86274.75                0        39.365429
             -1.5             -4.8                1                0         47465.84                0        83191.164                0        31.470604
             -1.4             -4.8                1                0        48587.152                0        79723.516                0       -3.7038479
             -1.3             -4.8                1                0        49714.719                0        75088.422                0       -34.070759
             -1.2             -4.8                1                0        50801.086                0        70392.211                0        -29.91087
             -1.1             -4.8                1                0        51856.086                0        65658.242                0       -18.480852
               -1             -4.8                1                0         52886.59                0         60892.73                0       -8.5124121
             -0.9             -4.8                1                0        53856.055                0        55727.887                0       -2.4692714
             -0.8             -4.8                1                0        54754.516                0         50004.77                0       -2.0698066
             -0.7             -4.8                1                0        55635.582                0        44238.531                0       -4.1333537
             -0.6             -4.8                1                0        56488.898                0        38422.477                0       -8.3638611
             -0.5             -4.8                1                0        56937.719                0        32322.377                0       -3.7792401
             -0.4             -4.8                1                0        57338.602                0        25895.748                0       -9.3049364
             -0.3             -4.8                1                0        57617.398                0        19376.395                0       -11.115724
             -0.2             -4.8                1                0        57729.332                0        12928.258                0       -11.736382
             -0.1             -4.8                1                0        57823.859                0        6483.9985                0       -9.8195677
                0             -4.8                1                0        57900.973                0       -43.617516                0        5.3652782
              0.1             -4.8                1                0        57823.859                0       -6483.9985                0        9.8195677
              0.2             -4.8                1                0        57729.332                0       -12928.258                0        11.736382
              0.3             -4.8                1                0        57617.398                0       -19376.395                0        11.115724
              0.4             -4.8                1                0        57338.602                0       -25895.748                0        9.3049364
              0.5             -4.8                1                0        56937.719                0       -32322.377                0        3.7792401
              0.6             -4.8                1                0        56488.898                0       -38422.477                0        8.3638611
              0.7             -4.8                1                0        55635.582                0       -44238.531                0        4.1333537
              0.8             -4.8                1                0        54754.516                0        -50004.77                0        2.0698066
              0.9             -4.8                1                0        53856.055                0       -55727.887                0        2.4692714
                1             -4.8                1                0         52886.59                0        -60892.73                0        8.5124121
              1.1             -4.8                1                0        51856.086                0       -65658.242                0        18.480852
              1.2             -4.8                1                0        50801.086                0       -70392.211                0         29.91087
              1.3             -4.8                1                0        49714.719                0       -75088.422                0        34.070759
              1.4             -4.8                1                0        48587.152                0       -79723.516                0        3.7038479
              1.5             -4.8                1                0         47465.84                0       -83191.164                0       -31.470604
              1.6             -4.8                1                0        46041.211                0        -86274.75                0       -39.365429
              1.7             -4.8                1                0         44368.32                0       -89164.711                0       -25.071339
              1.8             -4.8                1                0        42682.453                0       -92008.492                0       -11.159419
              1.9             -4.8                1                0        40982.707                0       -94570.156                0        3.2047317
                2             -4.8                1                0        39268.578                0       -95904.234                0        20.610184
              2.1             -4.8                1                0        37546.602                0       -97140.523                0        36.526295
              2.2             -4.8                1                0         35816.77                0       -98279.031                0        50.953125
              2.3             -4.8                1                0        34179.113                0       -99227.164                0        21.885365
              2.4             -4.8                1                0        32586.176                0         -99469.5                0       0.11416638
              2.5             -4.8                1                0        30949.492                0       -98896.891                0        1.9461188
              2.6             -4.8                1                0        28908.621                0       -97986.867                0        2.2440765
              2.7             -4.8                1                0        26877.809                0       -96963.656                0        2.5014229
              2.8             -4.8                1                0         24857.07                0        -95827.25                0        2.7181563
              2.9             -4.8                1                0        22877.857                0       -93769.336                0        2.3269653
                3             -4.8                1                0        20919.369                0       -91351.938                0      -0.45280707
              3.1             -4.8                1                0        18971.469                0       -88839.359                0       -5.7391129
              3.2             -4.8                1                0        17176.637                0       -86058.234                0       -8.2469015
              3.3             -4.8                1                0        15455.568                0       -82896.922                0       -9.1242161
              3.4             -4.8                1                0        13777.428                0       -79089.656                0        -12.01495
              3.5             -4.8                1                0         11933.97                0       -75134.859                0       -12.277487
              3.6             -4.8                1                0        9931.4297                0       -71024.547                0       -14.479614
