           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             -0.8             -4.8                0                0        9057.8672                0        78127.844                0        14.038701
             -0.7             -4.8                0                0        7423.7998                0        69738.656                0        17.972858
             -0.6             -4.8                0                0        5935.7544                0        61210.738                0         17.91857
             -0.5             -4.8                0                0        4059.6226                0        52514.473                0        6.7445369
             -0.4             -4.8                0                0        2772.0312                0        42704.703                0        1.3734355
             -0.3             -4.8                0                0         1836.281                0        32272.211                0     0.0084400177
             -0.2             -4.8                0                0        1057.1411                0        21581.607                0       -3.7216668
             -0.1             -4.8                0                0        465.27271                0        10868.892                0       -15.601005
                0             -4.8                0                0        60.688477                0       -134.05511                0        35.629585
              0.1             -4.8                0                0        465.27271                0       -10868.892                0        15.601005
              0.2             -4.8                0                0        1057.1411                0       -21581.607                0        3.7216668
              0.3             -4.8                0                0         1836.281                0       -32272.211                0    -0.0084400177
              0.4             -4.8                0                0        2772.0312                0       -42704.703                0       -1.3734355
              0.5             -4.8                0                0        4059.6226                0       -52514.473                0       -6.7445369
              0.6             -4.8                0                0        5935.7544                0       -61210.738                0        -17.91857
              0.7             -4.8                0                0        7423.7998                0       -69738.656                0       -17.972858
              0.8             -4.8                0                0        9057.8672                0       -78127.844                0       -14.038701
              0.9             -4.8                0                0        10852.551                0        -86380.07                0       -6.5509868
                1             -4.8                0                0        13088.049                0       -92814.609                0       -19.172161
              1.1             -4.8                0                0        15671.839                0       -97920.359                0       -49.557682
              1.2             -4.8                0                0        18402.281                0       -102889.52                0       -82.111481
              1.3             -4.8                0                0          21354.5                0       -107600.34                0       -92.827652
              1.4             -4.8                0                0        24757.506                0       -111691.29                0        -7.649775
              1.5             -4.8                0                0        28584.838                0       -112562.93                0        80.335358
              1.6             -4.8                0                0        31889.854                0       -112563.27                0        96.623718
              1.7             -4.8                0                0        34764.996                0       -112149.58                0        59.276714
              1.8             -4.8                0                0         37730.16                0       -111545.42                0        25.342508
              1.9             -4.8                0                0        40803.852                0        -110231.5                0       -6.6464949
                2             -4.8                0                0        44086.281                0       -106177.02                0       -41.946053
              2.1             -4.8                0                0        47507.371                0       -101904.39                0       -73.085197
              2.2             -4.8                0                0        51067.145                0       -97413.625                0       -100.06406
              2.3             -4.8                0                0        54829.828                0       -92406.969                0       -75.763771
              2.4             -4.8                0                0        58609.766                0       -86206.117                0       -45.161709
              2.5             -4.8                0                0        62160.598                0       -78691.984                0       -21.046246
              2.6             -4.8                0                0        64558.391                0       -70433.438                0        13.135741
              2.7             -4.8                0                0        67007.289                0       -62057.883                0         20.94417
              2.8             -4.8                0                0        69507.273                0       -53565.367                0        2.3789904
              2.9             -4.8                0                0        72050.242                0       -44317.566                0        1.3019571
                3             -4.8                0                0        74622.961                0       -34824.434                0        7.0908928
              3.1             -4.8                0                0         77205.68                0       -25309.268                0        8.2653379
              3.2             -4.8                0                0        79361.234                0       -15908.759                0        8.1719751
              3.3             -4.8                0                0        81475.383                0       -6615.0264                0        8.8347607
              3.4             -4.8                0                0        83556.812                0        2563.7539                0      -0.27737927
              3.5             -4.8                0                0        85399.258                0        11846.568                0       -22.438717
              3.6             -4.8                0                0        86261.891                0        21471.459                0        -32.80595
