           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              2.4             -4.8                1                0        49242.496                0       -66766.078                0          0.46399
              2.5             -4.8                1                0        49664.441                0       -67979.633                0       0.72635669
              2.6             -4.8                1                0        49946.672                0       -69095.172                0        0.1614058
              2.7             -4.8                1                0        50245.652                0       -70167.328                0       0.36012524
              2.8             -4.8                1                0        50561.383                0       -71196.078                0        1.3225136
              2.9             -4.8                1                0        50931.562                0       -71803.445                0       0.36499059
                3             -4.8                1                0        51327.445                0       -72244.789                0       -1.7028913
              3.1             -4.8                1                0        51736.344                0       -72642.664                0       -4.1509557
              3.2             -4.8                1                0        52089.504                0       -72983.867                0        -5.452096
              3.3             -4.8                1                0        52449.293                0       -73140.781                0       -5.3422971
              3.4             -4.8                1                0        52846.195                0       -72921.891                0       -4.6371317
              3.5             -4.8                1                0        53153.027                0       -72614.047                0       -3.7812874
              3.6             -4.8                1                0        53367.375                0       -72199.961                0       -3.8686357
