           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -4.7             -4.8                1        4731.7349                0        1274.8135                0         21800734                0
             -4.6             -4.8                1       -5997.9434                0       -9007.7422                0         23868816                0
             -4.5             -4.8                1       -23082.316                0       -19477.363                0         25869468                0
             -4.4             -4.8                1        -23264.48                0       -20809.359                0         27560524                0
             -4.3             -4.8                1       -11647.947                0        -8996.085                0         28973226                0
             -4.2             -4.8                1       -1383.0308                0        3360.0649                0         30200366                0
             -4.1             -4.8                1        8921.2227                0        8588.2773                0         31314644                0
               -4             -4.8                1        4382.6914                0             4813                0         32268468                0
             -3.9             -4.8                1       -1215.1018                0        12081.333                0         33096910                0
             -3.8             -4.8                1       -7183.2563                0        7225.3413                0         33822184                0
             -3.7             -4.8                1       -20861.525                0       -26239.258                0         34430528                0
             -3.6             -4.8                1       -6708.0996                0       -16662.104                0         34562416                0
             -3.5             -4.8                1       -236.29259                0       -4990.5952                0         34569448                0
             -3.4             -4.8                1       -791.59259                0        10975.742                0         34450184                0
             -3.3             -4.8                1       -7633.0137                0        21724.408                0         34201136                0
             -3.2             -4.8                1        -2544.166                0        17856.789                0         33830560                0
             -3.1             -4.8                1        3750.6187                0        11353.153                0         33326238                0
               -3             -4.8                1        9334.4512                0       -4235.5933                0         32564552                0
             -2.9             -4.8                1          8608.75                0       -7368.9087                0         31712354                0
             -2.8             -4.8                1        6436.2529                0       -8263.7461                0         30767136                0
             -2.7             -4.8                1        14467.671                0       -26225.723                0         29755948                0
             -2.6             -4.8                1        18628.168                0       -28544.561                0         28706056                0
             -2.5             -4.8                1         18917.73                0       -15220.262                0         27617462                0
             -2.4             -4.8                1        8567.8711                0        14483.082                0         26456736                0
             -2.3             -4.8                1        12819.289                0         40426.07                0         25288332                0
             -2.2             -4.8                1        27122.482                0        52697.543                0         24084824                0
             -2.1             -4.8                1        22918.094                0        37461.473                0         22693232                0
               -2             -4.8                1        15792.121                0        23407.627                0         21315868                0
             -1.9             -4.8                1          5744.54                0        10535.949                0         19952722                0
             -1.8             -4.8                1        145.85645                0         8944.127                0         18654894                0
             -1.7             -4.8                1        -6554.396                0        14219.165                0         17406976                0
             -1.6             -4.8                1       -15838.003                0        24627.646                0         16200838                0
             -1.5             -4.8                1       -18429.348                0        30286.582                0         15036134                0
             -1.4             -4.8                1       -9271.8828                0        28489.305                0         13913174                0
             -1.3             -4.8                1        5693.7856                0        35735.922                0         12888725                0
             -1.2             -4.8                1        10790.545                0        28638.119                0         11804733                0
             -1.1             -4.8                1        10362.522                0        18053.449                0         10769398                0
               -1             -4.8                1        6143.9976                0        7460.7144                0          9812360                0
             -0.9             -4.8                1        5180.2842                0       -4245.6221                0          8974265                0
             -0.8             -4.8                1        10230.002                0       -13124.742                0        8267687.5                0
             -0.7             -4.8                1        11306.645                0        -15801.22                0          7633633                0
             -0.6             -4.8                1         8396.667                0       -12090.307                0          7071674                0
             -0.5             -4.8                1        651.10339                0        3073.1372                0        6567295.5                0
             -0.4             -4.8                1        6554.6816                0        9150.8887                0          6178527                0
             -0.3             -4.8                1        10020.192                0        8522.1953                0        5862150.5                0
             -0.2             -4.8                1        7381.1211                0        3493.9448                0          5595365                0
             -0.1             -4.8                1       -126.54395                0        -222.3208                0        5412611.5                0
                0             -4.8                1        12502.809                0       -2626.6038                0          5313890                0
              0.1             -4.8                1        126.54395                0        -222.3208                0        5412611.5                0
              0.2             -4.8                1       -7381.1211                0        3493.9448                0          5595365                0
              0.3             -4.8                1       -10020.192                0        8522.1953                0        5862150.5                0
              0.4             -4.8                1       -6554.6816                0        9150.8887                0          6178527                0
              0.5             -4.8                1       -651.10339                0        3073.1372                0        6567295.5                0
              0.6             -4.8                1        -8396.667                0       -12090.307                0          7071674                0
              0.7             -4.8                1       -11306.645                0        -15801.22                0          7633633                0
              0.8             -4.8                1       -10230.002                0       -13124.742                0        8267687.5                0
              0.9             -4.8                1       -5180.2842                0       -4245.6221                0          8974265                0
                1             -4.8                1       -6143.9976                0        7460.7144                0          9812360                0
              1.1             -4.8                1       -10362.522                0        18053.449                0         10769398                0
              1.2             -4.8                1       -10790.545                0        28638.119                0         11804733                0
              1.3             -4.8                1       -5693.7856                0        35735.922                0         12888725                0
              1.4             -4.8                1        9271.8828                0        28489.305                0         13913174                0
              1.5             -4.8                1        18429.348                0        30286.582                0         15036134                0
              1.6             -4.8                1        15838.003                0        24627.646                0         16200838                0
              1.7             -4.8                1         6554.396                0        14219.165                0         17406976                0
              1.8             -4.8                1       -145.85645                0         8944.127                0         18654894                0
              1.9             -4.8                1         -5744.54                0        10535.949                0         19952722                0
                2             -4.8                1       -15792.121                0        23407.627                0         21315868                0
              2.1             -4.8                1       -22918.094                0        37461.473                0         22693232                0
              2.2             -4.8                1       -27122.482                0        52697.543                0         24084824                0
              2.3             -4.8                1       -12819.289                0         40426.07                0         25288332                0
              2.4             -4.8                1       -8567.8711                0        14483.082                0         26456736                0
              2.5             -4.8                1        -18917.73                0       -15220.262                0         27617462                0
              2.6             -4.8                1       -18628.168                0       -28544.561                0         28706056                0
              2.7             -4.8                1       -14467.671                0       -26225.723                0         29755948                0
              2.8             -4.8                1       -6436.2529                0       -8263.7461                0         30767136                0
              2.9             -4.8                1         -8608.75                0       -7368.9087                0         31712354                0
                3             -4.8                1       -9334.4512                0       -4235.5933                0         32564552                0
              3.1             -4.8                1       -3750.6187                0        11353.153                0         33326238                0
              3.2             -4.8                1         2544.166                0        17856.789                0         33830560                0
              3.3             -4.8                1        7633.0137                0        21724.408                0         34201136                0
              3.4             -4.8                1        791.59259                0        10975.742                0         34450184                0
              3.5             -4.8                1        236.29259                0       -4990.5952                0         34569448                0
              3.6             -4.8                1        6708.0996                0       -16662.104                0         34562416                0
