           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              3.2             -4.9                0                0       -37660.117                0       -36630.031                0       -1.1792083
              3.3             -4.9                0                0       -35417.867                0       -33453.863                0         3.672262
              3.4             -4.9                0                0       -33548.039                0        -29981.18                0        11.331236
              3.5             -4.9                0                0       -31801.605                0       -26531.426                0         9.554533
              3.6             -4.9                0                0       -30176.047                0       -23104.752                0       -1.4849322
              3.7             -4.9                0                0       -28415.184                0       -19534.783                0       -7.4915528
              3.8             -4.9                0                0       -26730.551                0       -15845.328                0       -21.883703
              3.9             -4.9                0                0       -25169.172                0       -12166.609                0       -21.250734
                4             -4.9                0                0       -23731.059                0       -8498.6465                0       -5.5926504
              4.1             -4.9                0                0       -22674.641                0       -4983.5078                0       -8.5549345
              4.2             -4.9                0                0       -21844.117                0        -1554.115                0       -16.626156
              4.3             -4.9                0                0       -21149.479                0        1836.2335                0       -19.108141
              4.4             -4.9                0                0         -20516.1                0        5138.4155                0       -12.870505
              4.5             -4.9                0                0        -19797.07                0        8099.1143                0        10.544451
              4.6             -4.9                0                0       -19183.441                0        11005.332                0         18.84351
              4.7             -4.9                0                0       -18703.463                0        13855.489                0        11.584807
              4.8             -4.9                0                0       -18431.242                0        16423.195                0       0.31251693
              4.9             -4.9                0                0       -18417.326                0        18587.082                0        8.7113485
                5             -4.9                0                0       -18563.141                0        20662.168                0        28.025568
               -5             -4.8                0                0       -16505.197                0       -20640.371                0       -31.164993
             -4.9             -4.8                0                0       -16240.072                0       -18466.668                0       -7.0573983
             -4.8             -4.8                0                0       -16119.644                0       -16219.684                0        7.3261547
             -4.7             -4.8                0                0       -16183.734                0       -13798.446                0        7.5794339
             -4.6             -4.8                0                0       -16544.545                0       -10783.765                0       -7.6797853
             -4.5             -4.8                0                0        -17039.01                0       -7713.0225                0       -7.3812408
             -4.4             -4.8                0                0       -17401.482                0       -4482.3853                0       -7.2980661
             -4.3             -4.8                0                0       -17952.732                0       -1095.6746                0        6.1648326
             -4.2             -4.8                0                0       -18797.842                0        2461.7573                0        7.1567326
             -4.1             -4.8                0                0       -19551.219                0        6051.8926                0        5.1689463
               -4             -4.8                0                0       -20440.479                0        9681.0879                0       -2.4080827
             -3.9             -4.8                0                0       -21758.721                0        13439.729                0         21.71648
             -3.8             -4.8                0                0       -23249.859                0        17226.166                0        37.688305
             -3.7             -4.8                0                0       -24744.051                0        21016.674                0         30.89502
             -3.6             -4.8                0                0       -26163.025                0        24756.107                0        -8.235405
             -3.5             -4.8                0                0        -27950.85                0        28455.809                0       -20.773102
             -3.4             -4.8                0                0       -29676.312                0        32041.484                0       -18.319721
             -3.3             -4.8                0                0        -31482.09                0        35616.543                0       -5.2445531
             -3.2             -4.8                0                0       -33663.363                0        38900.992                0        2.8043251
             -3.1             -4.8                0                0       -36141.258                0        41957.984                0       0.81786847
               -3             -4.8                0                0       -38195.172                0        44862.746                0       -1.7030801
             -2.9             -4.8                0                0       -40324.582                0        47736.156                0       -3.9822383
             -2.8             -4.8                0                0        -42618.52                0        50394.641                0       -3.9893665
             -2.7             -4.8                0                0       -45192.547                0        52412.742                0        1.7192923
             -2.6             -4.8                0                0       -47836.008                0         54357.75                0        6.3195715
             -2.5             -4.8                0                0       -50548.883                0        56229.652                0        9.8114452
             -2.4             -4.8                0                0       -53153.945                0        57957.102                0        9.8803978
             -2.3             -4.8                0                0       -55920.945                0        59076.047                0        20.387009
             -2.2             -4.8                0                0       -58718.328                0        59613.484                0        38.191628
             -2.1             -4.8                0                0       -61087.742                0        59879.125                0        31.549517
               -2             -4.8                0                0       -63479.109                0        60064.102                0        19.786263
             -1.9             -4.8                0                0        -65892.43                0        60168.422                0        2.9018359
             -1.8             -4.8                0                0       -68451.984                0         59175.25                0       -13.730522
             -1.7             -4.8                0                0       -71053.562                0         57917.23                0       -28.490776
             -1.6             -4.8                0                0       -73671.195                0            56605                0        -41.93251
             -1.5             -4.8                0                0       -76140.727                0        55279.652                0        -32.75087
             -1.4             -4.8                0                0       -78423.422                0        53815.832                0         5.008193
             -1.3             -4.8                0                0       -80765.758                0        51254.445                0        35.296268
             -1.2             -4.8                0                0       -82575.859                0        48372.922                0        31.316481
             -1.1             -4.8                0                0       -84241.781                0        45380.895                0        18.724976
               -1             -4.8                0                0       -85892.219                0        42349.008                0        5.4869938
             -0.9             -4.8                0                0        -87490.57                0        38895.656                0        3.7102199
             -0.8             -4.8                0                0       -89023.672                0        34869.234                0        12.765339
             -0.7             -4.8                0                0       -90543.867                0         30809.75                0        13.269722
             -0.6             -4.8                0                0       -92037.133                0        26723.541                0        5.2685981
             -0.5             -4.8                0                0       -92986.484                0        22850.574                0       -6.1293449
             -0.4             -4.8                0                0       -93842.523                0        18646.725                0       -23.492214
             -0.3             -4.8                0                0       -94400.836                0        14173.081                0       -25.290051
             -0.2             -4.8                0                0       -94558.406                0             9481                0       -22.445875
             -0.1             -4.8                0                0       -94691.828                0        4773.7158                0        -13.92168
                0             -4.8                0                0       -94801.094                0       -51.223286                0      -0.28249073
              0.1             -4.8                0                0       -94691.828                0       -4773.7158                0         13.92168
              0.2             -4.8                0                0       -94558.406                0            -9481                0        22.445875
              0.3             -4.8                0                0       -94400.836                0       -14173.081                0        25.290051
              0.4             -4.8                0                0       -93842.523                0       -18646.725                0        23.492214
              0.5             -4.8                0                0       -92986.484                0       -22850.574                0        6.1293449
              0.6             -4.8                0                0       -92037.133                0       -26723.541                0       -5.2685981
              0.7             -4.8                0                0       -90543.867                0        -30809.75                0       -13.269722
              0.8             -4.8                0                0       -89023.672                0       -34869.234                0       -12.765339
              0.9             -4.8                0                0        -87490.57                0       -38895.656                0       -3.7102199
                1             -4.8                0                0       -85892.219                0       -42349.008                0       -5.4869938
              1.1             -4.8                0                0       -84241.781                0       -45380.895                0       -18.724976
              1.2             -4.8                0                0       -82575.859                0       -48372.922                0       -31.316481
              1.3             -4.8                0                0       -80765.758                0       -51254.445                0       -35.296268
              1.4             -4.8                0                0       -78423.422                0       -53815.832                0        -5.008193
              1.5             -4.8                0                0       -76140.727                0       -55279.652                0         32.75087
              1.6             -4.8                0                0       -73671.195                0           -56605                0         41.93251
              1.7             -4.8                0                0       -71053.562                0        -57917.23                0        28.490776
              1.8             -4.8                0                0       -68451.984                0        -59175.25                0        13.730522
              1.9             -4.8                0                0        -65892.43                0       -60168.422                0       -2.9018359
                2             -4.8                0                0       -63479.109                0       -60064.102                0       -19.786263
              2.1             -4.8                0                0       -61087.742                0       -59879.125                0       -31.549517
              2.2             -4.8                0                0       -58718.328                0       -59613.484                0       -38.191628
              2.3             -4.8                0                0       -55920.945                0       -59076.047                0       -20.387009
              2.4             -4.8                0                0       -53153.945                0       -57957.102                0       -9.8803978
              2.5             -4.8                0                0       -50548.883                0       -56229.652                0       -9.8114452
              2.6             -4.8                0                0       -47836.008                0        -54357.75                0       -6.3195715
              2.7             -4.8                0                0       -45192.547                0       -52412.742                0       -1.7192923
              2.8             -4.8                0                0        -42618.52                0       -50394.641                0        3.9893665
              2.9             -4.8                0                0       -40324.582                0       -47736.156                0        3.9822383
                3             -4.8                0                0       -38195.172                0       -44862.746                0        1.7030801
              3.1             -4.8                0                0       -36141.258                0       -41957.984                0      -0.81786847
              3.2             -4.8                0                0       -33663.363                0       -38900.992                0       -2.8043251
              3.3             -4.8                0                0        -31482.09                0       -35616.543                0        5.2445531
              3.4             -4.8                0                0       -29676.312                0       -32041.484                0        18.319721
              3.5             -4.8                0                0        -27950.85                0       -28455.809                0        20.773102
              3.6             -4.8                0                0       -26163.025                0       -24756.107                0         8.235405
